index,entropy,complexity,repetition
0,0.300000,0.800000,0.050000
1,0.355441,0.798817,0.070000
2,0.410199,0.795276,0.090000
3,0.463597,0.789396,0.110000
4,0.514978,0.781214,0.130000
5,0.563708,0.770777,0.050000
6,0.609185,0.758147,0.070000
7,0.650849,0.743399,0.090000
8,0.688186,0.726621,0.110000
9,0.720735,0.707910,0.130000
10,0.748096,0.687378,0.050000
11,0.769930,0.665147,0.070000
12,0.785969,0.641348,0.090000
13,0.796014,0.616121,0.110000
14,0.799942,0.589616,0.130000
15,0.797704,0.561990,0.050000
16,0.789328,0.533405,0.070000
17,0.774917,0.504032,0.090000
18,0.754649,0.474043,0.110000
19,0.728773,0.443616,0.130000
20,0.697610,0.412932,0.050000
21,0.661543,0.382171,0.070000
22,0.621017,0.351515,0.090000
23,0.576532,0.321146,0.110000
24,0.528636,0.291244,0.130000
25,0.477921,0.261984,0.050000
26,0.425011,0.233541,0.070000
27,0.370560,0.206083,0.090000
28,0.315238,0.179771,0.110000
29,0.259729,0.154762,0.130000
30,0.204716,0.131203,0.050000
31,0.150878,0.109234,0.070000
32,0.098880,0.088985,0.090000
33,0.049361,0.070575,0.110000
34,0.002934,0.054113,0.130000
35,-0.039829,0.039697,0.050000
36,-0.078401,0.027412,0.070000
37,-0.112307,0.017330,0.090000
38,-0.141127,0.009512,0.110000
39,-0.164507,0.004003,0.130000
40,-0.182159,0.000836,0.050000
41,-0.193863,0.000030,0.070000
42,-0.199477,0.001589,0.090000
43,-0.198931,0.005505,0.110000
44,-0.192232,0.011754,0.130000
45,-0.179462,0.020299,0.050000
46,-0.160779,0.031090,0.070000
47,-0.136413,0.044062,0.090000
48,-0.106665,0.059140,0.110000
49,-0.071901,0.076233,0.130000
50,-0.032551,0.095242,0.050000
51,0.010901,0.116052,0.070000
52,0.057918,0.138543,0.090000
53,0.107921,0.162579,0.110000
54,0.160292,0.188020,0.130000
55,0.214387,0.214714,0.050000
56,0.269537,0.242504,0.070000
57,0.325064,0.271226,0.090000
58,0.380281,0.300709,0.110000
59,0.434508,0.330779,0.130000
60,0.487076,0.361259,0.050000
61,0.537336,0.391968,0.070000
62,0.584670,0.422724,0.090000
63,0.628493,0.453347,0.110000
64,0.668265,0.483653,0.130000
65,0.703495,0.513465,0.050000
66,0.733748,0.542606,0.070000
67,0.758653,0.570903,0.090000
68,0.777900,0.598190,0.110000
69,0.791254,0.624304,0.130000
70,0.798549,0.649092,0.050000
71,0.799695,0.672406,0.070000
72,0.794679,0.694110,0.090000
73,0.783562,0.714074,0.110000
74,0.766481,0.732181,0.130000
75,0.743647,0.748323,0.050000
76,0.715342,0.762405,0.070000
77,0.681914,0.774343,0.090000
78,0.643776,0.784068,0.110000
79,0.601398,0.791521,0.130000
80,0.555303,0.796659,0.050000
81,0.506059,0.799451,0.070000
82,0.454274,0.799880,0.090000
83,0.400587,0.797944,0.110000
84,0.345659,0.793655,0.130000
85,0.290167,0.787037,0.050000
86,0.234797,0.778131,0.070000
87,0.180232,0.766988,0.090000
88,0.127143,0.753675,0.110000
89,0.076186,0.738270,0.130000
90,0.027989,0.720864,0.050000
91,-0.016852,0.701561,0.070000
92,-0.057787,0.680474,0.090000
93,-0.094308,0.657729,0.110000
94,-0.125967,0.633459,0.130000
95,-0.152372,0.607808,0.050000
96,-0.173198,0.580928,0.070000
97,-0.188188,0.552979,0.090000
98,-0.197157,0.524124,0.110000
99,-0.199995,0.494536,0.130000
100,-0.196667,0.464388,0.050000
101,-0.187213,0.433860,0.070000
102,-0.171750,0.403131,0.090000
103,-0.150469,0.372384,0.110000
104,-0.123633,0.341800,0.130000
105,-0.091571,0.311560,0.050000
106,-0.054681,0.281844,0.070000
107,-0.013416,0.252826,0.090000
108,0.031714,0.224678,0.110000
109,0.080152,0.197568,0.130000
110,0.131302,0.171655,0.050000
111,0.184533,0.147092,0.070000
112,0.239188,0.124025,0.090000
113,0.294593,0.102590,0.110000
114,0.350064,0.082914,0.130000
115,0.404918,0.065114,0.050000
116,0.458478,0.049294,0.070000
117,0.510084,0.035548,0.090000
118,0.559098,0.023958,0.110000
119,0.604917,0.014591,0.130000
120,0.646976,0.007504,0.050000
121,0.684755,0.002739,0.070000
122,0.717789,0.000323,0.090000
123,0.745671,0.000270,0.110000
124,0.768056,0.002582,0.130000
125,0.784669,0.007244,0.050000
126,0.795304,0.014229,0.070000
127,0.799830,0.023496,0.090000
128,0.798192,0.034989,0.110000
129,0.790410,0.048641,0.130000
130,0.776580,0.064371,0.050000
131,0.756872,0.082086,0.070000
132,0.731530,0.101682,0.090000
133,0.700865,0.123041,0.110000
134,0.665257,0.146039,0.130000
135,0.625144,0.170539,0.050000
136,0.581021,0.196395,0.070000
137,0.533432,0.223456,0.090000
138,0.482964,0.251561,0.110000
139,0.430240,0.280544,0.130000
140,0.375909,0.310234,0.050000
141,0.320642,0.340454,0.070000
142,0.265121,0.371026,0.090000
143,0.210030,0.401770,0.110000
144,0.156048,0.432504,0.130000
145,0.103842,0.463045,0.050000
146,0.054055,0.493213,0.070000
147,0.007301,0.522830,0.090000
148,-0.035843,0.551721,0.110000
149,-0.074845,0.579714,0.130000
150,-0.109224,0.606644,0.050000
151,-0.138556,0.632352,0.070000
152,-0.162479,0.656686,0.090000
153,-0.180699,0.679502,0.110000
154,-0.192990,0.700665,0.130000
155,-0.199201,0.720050,0.050000
156,-0.199256,0.737542,0.070000
157,-0.193153,0.753037,0.090000
158,-0.180968,0.766445,0.110000
159,-0.162851,0.777685,0.130000
160,-0.139026,0.786692,0.050000
161,-0.109787,0.793411,0.070000
162,-0.075494,0.797804,0.090000
163,-0.036569,0.799844,0.110000
164,0.006506,0.799520,0.130000
165,0.053201,0.796832,0.050000
166,0.102939,0.791798,0.070000
167,0.155108,0.784446,0.090000
168,0.209064,0.774821,0.110000
169,0.264142,0.762979,0.130000
170,0.319661,0.748990,0.050000
